fecha,tipo,precio_eur_kg
2025-08-13,virgen_extra_picual,3.694
2025-08-14,virgen_extra_picual,3.7
2025-08-20,virgen_extra_picual,3.75
2025-08-22,virgen_extra_picual,3.8
2025-08-25,virgen_extra_picual,3.833
2025-08-28,virgen_extra_picual,3.9
2025-01-02,virgen_picual,3.881
2025-01-03,virgen_picual,3.913
2025-01-07,virgen_picual,3.933
2025-01-08,virgen_picual,3.9
2025-01-09,virgen_picual,3.935
2025-01-10,virgen_picual,3.9
2025-01-13,virgen_picual,3.963
2025-01-14,virgen_picual,3.963
2025-01-15,virgen_picual,3.975
2025-01-16,virgen_picual,3.992
2025-01-17,virgen_picual,4.033
2025-01-20,virgen_picual,4.033
2025-01-21,virgen_picual,4.0
2025-01-22,virgen_picual,3.9
2025-01-23,virgen_picual,3.925
2025-01-24,virgen_picual,3.863
2025-01-27,virgen_picual,3.8
2025-01-28,virgen_picual,3.788
2025-01-29,virgen_picual,3.763
2025-01-30,virgen_picual,3.7
2025-01-31,virgen_picual,3.715
2025-02-03,virgen_picual,3.75
2025-02-04,virgen_picual,3.738
2025-02-05,virgen_picual,3.637
2025-02-06,virgen_picual,3.6
2025-02-07,virgen_picual,3.6
2025-02-18,virgen_picual,3.575
2025-02-19,virgen_picual,3.6
2025-02-20,virgen_picual,3.61
2025-02-21,virgen_picual,3.6
2025-02-24,virgen_picual,3.663
2025-02-25,virgen_picual,3.663
2025-02-26,virgen_picual,3.66
2025-02-27,virgen_picual,3.633
2025-03-03,virgen_picual,3.6
2025-03-04,virgen_picual,3.567
2025-03-05,virgen_picual,3.528
2025-03-06,virgen_picual,3.467
2025-03-07,virgen_picual,3.45
2025-03-13,virgen_picual,3.375
2025-03-17,virgen_picual,
2025-03-19,virgen_picual,3.0
2025-03-20,virgen_picual,3.056
2025-03-21,virgen_picual,3.05
2025-03-24,virgen_picual,3.05
2025-03-25,virgen_picual,3.067
2025-03-26,virgen_picual,3.075
2025-03-27,virgen_picual,3.065
2025-03-28,virgen_picual,3.092
2025-03-31,virgen_picual,3.1
2025-04-01,virgen_picual,3.108
2025-04-02,virgen_picual,3.1
2025-04-03,virgen_picual,3.125
2025-04-04,virgen_picual,3.1
2025-04-07,virgen_picual,3.125
2025-04-08,virgen_picual,3.154
2025-04-09,virgen_picual,3.23
2025-04-10,virgen_picual,3.194
2025-04-11,virgen_picual,3.131
2025-04-14,virgen_picual,3.119
2025-04-15,virgen_picual,3.158
2025-04-16,virgen_picual,3.1
2025-04-21,virgen_picual,3.1
2025-04-23,virgen_picual,3.1
2025-04-24,virgen_picual,3.167
2025-04-25,virgen_picual,3.0
2025-05-06,virgen_picual,2.95
2025-05-07,virgen_picual,2.983
2025-05-08,virgen_picual,2.925
2025-05-12,virgen_picual,2.8
2025-05-16,virgen_picual,2.8
2025-05-19,virgen_picual,2.888
2025-05-20,virgen_picual,2.983
2025-05-21,virgen_picual,2.9
2025-05-22,virgen_picual,2.867
2025-05-23,virgen_picual,2.869
2025-05-26,virgen_picual,2.867
2025-05-27,virgen_picual,2.875
2025-05-28,virgen_picual,2.85
2025-05-29,virgen_picual,2.875
2025-05-30,virgen_picual,2.933
2025-06-02,virgen_picual,2.919
2025-06-03,virgen_picual,2.917
2025-06-04,virgen_picual,2.892
2025-06-05,virgen_picual,2.91
2025-06-06,virgen_picual,2.955
2025-06-09,virgen_picual,2.933
2025-06-10,virgen_picual,2.9
2025-06-11,virgen_picual,2.95
2025-06-12,virgen_picual,2.917
2025-06-13,virgen_picual,2.925
2025-06-16,virgen_picual,2.933
2025-06-17,virgen_picual,2.956
2025-06-18,virgen_picual,2.943
2025-06-19,virgen_picual,2.944
2025-06-20,virgen_picual,2.95
2025-06-23,virgen_picual,2.99
2025-06-24,virgen_picual,2.969
2025-06-25,virgen_picual,2.981
2025-06-26,virgen_picual,3.006
2025-06-30,virgen_picual,3.025
2025-07-01,virgen_picual,3.05
2025-07-02,virgen_picual,3.05
2025-07-03,virgen_picual,3.075
2025-07-04,virgen_picual,3.085
2025-07-07,virgen_picual,3.1
2025-07-08,virgen_picual,3.117
2025-07-09,virgen_picual,3.106
2025-07-10,virgen_picual,3.073
2025-07-11,virgen_picual,3.083
2025-07-14,virgen_picual,3.092
2025-07-15,virgen_picual,3.05
2025-07-16,virgen_picual,3.0
2025-07-17,virgen_picual,3.025
2025-07-18,virgen_picual,3.058
2025-07-21,virgen_picual,3.067
2025-07-22,virgen_picual,3.113
2025-07-23,virgen_picual,3.113
2025-07-24,virgen_picual,3.094
2025-07-25,virgen_picual,3.138
2025-07-28,virgen_picual,3.09
2025-07-29,virgen_picual,3.1
2025-07-30,virgen_picual,3.1
2025-07-31,virgen_picual,3.106
2025-08-01,virgen_picual,3.163
2025-08-04,virgen_picual,3.183
2025-08-05,virgen_picual,3.15
2025-08-06,virgen_picual,3.233
2025-08-07,virgen_picual,3.217
2025-08-08,virgen_picual,3.217
2025-08-11,virgen_picual,3.317
2025-08-12,virgen_picual,3.35
2025-08-13,virgen_picual,3.369
2025-08-14,virgen_picual,3.35
2025-08-20,virgen_picual,3.4
2025-08-22,virgen_picual,3.45
2025-08-25,virgen_picual,3.45
2025-08-28,virgen_picual,3.45
2025-01-02,lampante_picual,3.675
2025-01-03,lampante_picual,3.688
2025-01-07,lampante_picual,3.767
2025-01-08,lampante_picual,3.764
2025-01-09,lampante_picual,3.785
2025-01-10,lampante_picual,3.813
2025-01-13,lampante_picual,3.88
2025-01-14,lampante_picual,3.85
2025-01-15,lampante_picual,3.85
2025-01-16,lampante_picual,3.8
2025-01-17,lampante_picual,3.833
2025-01-20,lampante_picual,3.867
2025-01-21,lampante_picual,3.817
2025-01-22,lampante_picual,3.7
2025-01-23,lampante_picual,3.725
2025-01-24,lampante_picual,3.675
2025-01-27,lampante_picual,3.6
2025-01-28,lampante_picual,3.625
2025-01-29,lampante_picual,3.555
2025-01-30,lampante_picual,3.5
2025-01-31,lampante_picual,3.535
2025-02-03,lampante_picual,3.567
2025-02-04,lampante_picual,3.54
2025-02-05,lampante_picual,3.5
2025-02-06,lampante_picual,3.483
2025-02-07,lampante_picual,3.433
2025-02-18,lampante_picual,3.425
2025-02-19,lampante_picual,3.425
2025-02-20,lampante_picual,3.395
2025-02-21,lampante_picual,3.458
2025-02-24,lampante_picual,3.49
2025-02-25,lampante_picual,3.52
2025-02-26,lampante_picual,3.488
2025-02-27,lampante_picual,3.475
2025-03-03,lampante_picual,3.463
2025-03-04,lampante_picual,3.4
2025-03-05,lampante_picual,3.4
2025-03-06,lampante_picual,3.3
2025-03-07,lampante_picual,3.275
2025-03-13,lampante_picual,3.213
2025-03-17,lampante_picual,3.1
2025-03-19,lampante_picual,2.9
2025-03-20,lampante_picual,2.93
2025-03-21,lampante_picual,2.95
2025-03-24,lampante_picual,2.95
2025-03-25,lampante_picual,2.975
2025-03-26,lampante_picual,3.0
2025-03-27,lampante_picual,3.0
2025-03-28,lampante_picual,3.017
2025-03-31,lampante_picual,3.033
2025-04-01,lampante_picual,3.019
2025-04-02,lampante_picual,3.069
2025-04-03,lampante_picual,3.03
2025-04-04,lampante_picual,3.0
2025-04-07,lampante_picual,3.0
2025-04-08,lampante_picual,2.985
2025-04-09,lampante_picual,3.013
2025-04-10,lampante_picual,2.975
2025-04-11,lampante_picual,2.963
2025-04-14,lampante_picual,2.975
2025-04-15,lampante_picual,2.975
2025-04-16,lampante_picual,3.0
